G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve,First 200,,,,,,MW,MB,FW,FB
M,W,2.038364134,1.630236772,MW,281,W,0,0,1.009947415,0.568153338,1.410192813,0,,,,,,1,0,0,0
F,B,1.05486781,0.566321725,FB,451,B,0,1,1.05486781,0.566321725,0.566321725,0,,,,,,0,0,0,1
F,W,1.072818691,0.672174307,FW,1353,W,0,0,1.072818691,0.565026073,0.565026073,0,,,,,,0,0,1,0
F,W,0.76622595,0.667667597,FW,1083,W,0,0,0.76622595,0.560519363,0.560519363,0,,,,,,0,0,1,0
M,W,1.819193097,1.593880917,MW,339,W,0,0,0.790776378,0.531797482,1.373836958,0,,,,,,1,0,0,0
M,B,1.834194983,1.499153684,MB,578,B,0,1,0.805778264,0.51268947,1.354728945,0,,,,,,0,1,0,0
F,B,1.016438137,0.507081678,FB,845,B,0,1,1.016438137,0.507081678,0.507081678,0,,,,,,0,0,0,1
M,B,1.710712714,1.492514719,MB,1439,B,0,1,0.682295995,0.506050505,1.34808998,0,,,,,,0,1,0,0
F,W,0.914380848,0.611216151,FW,1499,W,0,0,0.914380848,0.504067917,0.504067917,0,,,,,,0,0,1,0
F,W,1.036785228,0.588347751,FW,1374,W,0,0,1.036785228,0.481199517,0.481199517,0,,,,,,0,0,1,0
F,W,0.615404356,0.575332736,FW,1254,W,0,0,0.615404356,0.468184502,0.468184502,0,,,,,,0,0,1,0
M,W,1.860424618,1.527089501,MW,1752,W,0,0,0.832007899,0.465006066,1.307045541,0,,,,,,1,0,0,0
F,B,0.822325546,0.461987571,FB,274,B,0,1,0.822325546,0.461987571,0.461987571,0,,,,,,0,0,0,1
F,W,0.970775547,0.551584914,FW,1218,W,0,0,0.970775547,0.44443668,0.44443668,0,,,,,,0,0,1,0
F,B,1.121440772,0.442197688,FB,1748,B,0,1,1.121440772,0.442197688,0.442197688,0,,,,,,0,0,0,1
M,B,1.628764251,1.426338484,MB,1653,B,0,1,0.600347532,0.439874269,1.281913744,0,,,,,,0,1,0,0
F,W,1.079878449,0.538491,FW,1859,W,0,0,1.079878449,0.431342766,0.431342766,0,,,,,,0,0,1,0
M,B,1.979121311,1.383403453,MB,1171,B,0,1,0.950704592,0.396939238,1.238978714,0,,,,,,0,1,0,0
F,W,0.81545536,0.502661373,FW,1044,W,0,0,0.81545536,0.395513138,0.395513138,0,,,,,,0,0,1,0
F,W,0.650917919,0.500990861,FW,579,W,0,0,0.650917919,0.393842627,0.393842627,0,,,,,,0,0,1,0
F,W,0.822097924,0.49368491,FW,446,W,0,0,0.822097924,0.386536676,0.386536676,0,,,,,,0,0,1,0
F,W,0.782538376,0.491701428,FW,1848,W,0,0,0.782538376,0.384553193,0.384553193,0,,,,,,0,0,1,0
F,B,0.333495086,0.374720703,FB,43,B,0,1,0.333495086,0.374720703,0.374720703,1,,,,,,0,0,0,1
M,W,1.666648485,1.429937188,MW,585,W,0,0,0.638231766,0.367853754,1.209893229,0,,,,,,1,0,0,0
F,B,0.701504632,0.355366121,FB,478,B,0,1,0.701504632,0.355366121,0.355366121,0,,,,,,0,0,0,1
M,W,1.569396258,1.416783421,MW,1193,W,0,0,0.540979539,0.354699987,1.196739462,0,,,,,,1,0,0,0
M,W,1.820088072,1.415380987,MW,1529,W,0,0,0.791671353,0.353297553,1.195337028,0,,,,,,1,0,0,0
F,W,0.363684868,0.45423749,FW,262,W,0,0,0.363684868,0.347089256,0.347089256,0,,,,,,0,0,1,0
M,W,1.913085559,1.404697962,MW,1220,W,0,0,0.88466884,0.342614527,1.184654002,0,,,,,,1,0,0,0
F,W,0.483858592,0.446555566,FW,1758,W,0,0,0.483858592,0.339407332,0.339407332,0,,,,,,0,0,1,0
M,W,1.84087219,1.396596722,MW,1511,W,0,0,0.812455471,0.334513288,1.176552763,0,,,,,,1,0,0,0
F,W,0.624327507,0.437137107,FW,1982,W,0,0,0.624327507,0.329988873,0.329988873,0,,,,,,0,0,1,0
M,W,1.553619979,1.385704477,MW,772,W,0,0,0.52520326,0.323621042,1.165660518,0,,,,,,1,0,0,0
F,W,0.586279564,0.429647949,FW,1990,W,0,0,0.586279564,0.322499715,0.322499715,0,,,,,,0,0,1,0
F,W,0.582774373,0.420808003,FW,1110,W,0,0,0.582774373,0.313659769,0.313659769,0,,,,,,0,0,1,0
F,B,0.372626385,0.278876065,FB,1351,B,0,1,0.372626385,0.278876065,0.278876065,0,,,,,,0,0,0,1
F,W,0.483122119,0.373713161,FW,1883,W,0,0,0.483122119,0.266564927,0.266564927,0,,,,,,0,0,1,0
F,B,0.760287708,0.266548366,FB,193,B,0,1,0.760287708,0.266548366,0.266548366,1,,,,,,0,0,0,1
M,B,1.443910436,1.2455189,MB,1912,B,0,1,0.415493717,0.259054686,1.101094161,0,,,,,,0,1,0,0
F,W,0.561009272,0.365208275,FW,1619,W,0,0,0.561009272,0.258060041,0.258060041,0,,,,,,0,0,1,0
F,W,0.708658032,0.361639915,FW,1115,W,0,0,0.708658032,0.254491681,0.254491681,0,,,,,,0,0,1,0
M,W,1.642479284,1.3149397,MW,53,W,0,0,0.614062565,0.252856266,1.094895741,1,,,,,,1,0,0,0
F,W,0.421682998,0.359250461,FW,1542,W,0,0,0.421682998,0.252102227,0.252102227,0,,,,,,0,0,1,0
F,W,0.3575562,0.329061966,FW,955,W,0,0,0.3575562,0.221913732,0.221913732,0,,,,,,0,0,1,0
F,W,0.504278482,0.326584172,FW,1284,W,0,0,0.504278482,0.219435938,0.219435938,0,,,,,,0,0,1,0
F,B,0.665764519,0.217530599,FB,1201,B,0,1,0.665764519,0.217530599,0.217530599,0,,,,,,0,0,0,1
M,W,1.465548157,1.279266388,MW,1164,W,0,0,0.437131438,0.217182954,1.059222429,0,,,,,,1,0,0,0
M,B,1.518130204,1.203119049,MB,739,B,0,1,0.489713486,0.216654834,1.05869431,0,,,,,,0,1,0,0
M,W,1.445118268,1.245058331,MW,1481,W,0,0,0.416701549,0.182974897,1.025014372,0,,,,,,1,0,0,0
F,W,0.758387225,0.283792175,FW,410,W,0,0,0.758387225,0.176643941,0.176643941,0,,,,,,0,0,1,0
M,B,1.644635639,1.161389767,MB,987,B,0,1,0.61621892,0.174925553,1.016965028,0,,,,,,0,1,0,0
M,W,1.454793369,1.234146686,MW,1243,W,0,0,0.42637665,0.172063251,1.014102726,0,,,,,,1,0,0,0
F,W,0.130205262,0.276788518,FW,1878,W,0,0,0.130205262,0.169640284,0.169640284,0,,,,,,0,0,1,0
M,W,1.649195891,1.226740163,MW,1617,W,0,0,0.620779172,0.164656728,1.006696203,0,,,,,,1,0,0,0
M,W,1.611216055,1.221115853,MW,730,W,0,0,0.582799336,0.159032419,1.001071894,0,,,,,,1,0,0,0
M,W,1.404172906,1.209114735,MW,1167,W,0,0,0.375756187,0.147031301,0.989070776,0,,,,,,1,0,0,0
M,W,1.621330331,1.203589421,MW,320,W,0,0,0.592913612,0.141505987,0.983545462,0,,,,,,1,0,0,0
F,W,0.601607491,0.248571598,FW,411,W,0,0,0.601607491,0.141423364,0.141423364,0,,,,,,0,0,1,0
F,B,0.518037294,0.129575494,FB,608,B,0,1,0.518037294,0.129575494,0.129575494,0,,,,,,0,0,0,1
F,W,0.46689199,0.228261886,FW,1762,W,0,0,0.46689199,0.121113652,0.121113652,0,,,,,,0,0,1,0
M,B,1.501490326,1.107433903,MB,1723,B,0,1,0.473073607,0.120969689,0.963009164,0,,,,,,0,1,0,0
M,W,1.584783014,1.177385241,MW,503,W,0,0,0.556366295,0.115301807,0.957341282,0,,,,,,1,0,0,0
M,B,1.401071492,1.086142529,MB,1114,B,0,1,0.372654773,0.099678314,0.941717789,0,,,,,,0,1,0,0
F,B,0.463558359,0.09497275,FB,888,B,0,1,0.463558359,0.09497275,0.09497275,0,,,,,,0,0,0,1
F,B,0.54437958,0.094867689,FB,1001,B,0,1,0.54437958,0.094867689,0.094867689,0,,,,,,0,0,0,1
F,W,0.337379139,0.197435429,FW,1740,W,0,0,0.337379139,0.090287195,0.090287195,0,,,,,,0,0,1,0
M,W,1.44980792,1.151281173,MW,470,W,0,0,0.421391201,0.089197738,0.931237214,0,,,,,,1,0,0,0
F,W,0.255052525,0.182104056,FW,514,W,0,0,0.255052525,0.074955822,0.074955822,0,,,,,,0,0,1,0
F,W,0.562846066,0.180087682,FW,1021,W,0,0,0.562846066,0.072939448,0.072939448,0,,,,,,0,0,1,0
M,W,1.325675864,1.127617752,MW,1327,W,0,0,0.297259145,0.065534318,0.907573793,0,,,,,,1,0,0,0
M,B,1.212456022,1.051014662,MB,290,B,0,1,0.184039303,0.064550448,0.906589923,0,,,,,,0,1,0,0
M,W,1.327898101,1.123133736,MW,82,W,0,0,0.299481382,0.061050301,0.903089777,1,,,,,,1,0,0,0
F,B,0.38092846,0.050327445,FB,550,B,0,1,0.38092846,0.050327445,0.050327445,0,,,,,,0,0,0,1
M,B,1.331770687,1.032462923,MB,566,B,0,1,0.303353968,0.045998709,0.888038184,0,,,,,,0,1,0,0
M,W,1.273385711,1.107241372,MW,58,W,0,0,0.244968992,0.045157938,0.887197413,1,,,,,,1,0,0,0
M,W,1.252244217,1.106194611,MW,258,W,0,0,0.223827498,0.044111176,0.886150651,0,,,,,,1,0,0,0
F,W,0.738171547,0.151256094,FW,488,W,0,0,0.738171547,0.04410786,0.04410786,0,,,,,,0,0,1,0
F,W,0.517463249,0.151164568,FW,1017,W,0,0,0.517463249,0.044016334,0.044016334,0,,,,,,0,0,1,0
F,W,0.499471419,0.148733356,FW,780,W,0,0,0.499471419,0.041585122,0.041585122,0,,,,,,0,0,1,0
M,B,1.125691407,1.020608071,MB,988,B,0,1,0.097274688,0.034143857,0.876183332,0,,,,,,0,1,0,0
M,W,1.226674871,1.081747648,MW,1650,W,0,0,0.198258152,0.019664214,0.861703689,0,,,,,,1,0,0,0
M,B,1.518140291,1.004321758,MB,423,B,0,1,0.489723572,0.017857544,0.859897019,0,,,,,,0,1,0,0
M,B,1.274393206,1.002354179,MB,1307,B,0,1,0.245976487,0.015889965,0.85792944,0,,,,,,0,1,0,0
M,W,1.085866087,1.07721727,MW,1405,W,0,0,0.057449368,0.015133835,0.857173311,0,,,,,,1,0,0,0
M,W,1.405391079,1.077109112,MW,1890,W,0,0,0.376974361,0.015025677,0.857065152,0,,,,,,1,0,0,0
M,W,1.183301011,1.076404779,MW,1513,W,0,0,0.154884292,0.014321344,0.85636082,0,,,,,,1,0,0,0
F,W,0.232472024,0.119882737,FW,1624,W,0,0,0.232472024,0.012734503,0.012734503,0,,,,,,0,0,1,0
M,W,1.584462867,1.071731591,MW,1645,W,0,0,0.556046148,0.009648156,0.851687632,0,,,,,,1,0,0,0
F,B,0.395307825,-0.000114657,FB,201,B,0,1,0.395307825,-0.000114657,-0.000114657,0,,,,,,0,0,0,1
M,W,1.447387063,1.057852845,MW,89,W,0,0,0.418970344,-0.004230589,0.837808886,1,,,,,,1,0,0,0
M,W,1.621245725,1.055598085,MW,45,W,0,0,0.592829006,-0.006485349,0.835554126,1,,,,,,1,0,0,0
F,B,0.176519307,-0.009204159,FB,1395,B,0,1,0.176519307,-0.009204159,-0.009204159,0,,,,,,0,0,0,1
M,B,1.621904385,0.975697019,MB,1732,B,0,1,0.593487666,-0.010767195,0.83127228,0,,,,,,0,1,0,0
M,W,1.277249471,1.043513417,MW,1105,W,0,0,0.248832752,-0.018570018,0.823469458,0,,,,,,1,0,0,0
F,W,0.266650467,0.087679679,FW,939,W,0,0,0.266650467,-0.019468555,-0.019468555,0,,,,,,0,0,1,0
M,B,1.503424443,0.960144049,MB,682,B,0,1,0.475007724,-0.026320165,0.81571931,0,,,,,,0,1,0,0
F,B,0.12599668,-0.026679681,FB,50,B,0,1,0.12599668,-0.026679681,-0.026679681,1,,,,,,0,0,0,1
M,W,1.119774941,1.027735332,MW,367,W,0,0,0.091358222,-0.034348102,0.807691373,0,,,,,,1,0,0,0
M,W,1.13198884,1.0270755,MW,1361,W,0,0,0.103572121,-0.035007934,0.807031541,0,,,,,,1,0,0,0
M,B,1.182377304,0.940509932,MB,1919,B,0,1,0.153960585,-0.045954282,0.796085193,0,,,,,,0,1,0,0
F,W,-0.026397012,0.059470027,FW,228,W,0,0,-0.026397012,-0.047678207,-0.047678207,0,,,,,,0,0,1,0
M,B,1.214499462,0.938684254,MB,1241,B,0,1,0.186082743,-0.04777996,0.794259515,0,,,,,,0,1,0,0
M,W,1.124407045,1.009674885,MW,1007,W,0,0,0.095990326,-0.052408549,0.789630926,0,,,,,,1,0,0,0
F,B,0.076788222,-0.058932414,FB,144,B,0,1,0.076788222,-0.058932414,-0.058932414,1,,,,,,0,0,0,1
M,W,1.106362496,1.001223106,MW,1679,W,0,0,0.077945777,-0.060860328,0.781179147,0,,,,,,1,0,0,0
M,W,1.260925586,0.998705075,MW,391,W,0,0,0.232508867,-0.063378359,0.778661116,0,,,,,,1,0,0,0
M,B,1.23781822,0.919335814,MB,1590,B,0,1,0.209401501,-0.0671284,0.774911075,0,,,,,,0,1,0,0
M,W,1.345278832,0.994150909,MW,504,W,0,0,0.316862113,-0.067932525,0.77410695,0,,,,,,1,0,0,0
M,W,1.146915067,0.992456999,MW,1000,W,0,0,0.118498348,-0.069626435,0.77241304,0,,,,,,1,0,0,0
F,W,0.270794048,0.022011772,FW,1920,W,0,0,0.270794048,-0.085136462,-0.085136462,0,,,,,,0,0,1,0
F,W,0.208833112,0.021832579,FW,73,W,0,0,0.208833112,-0.085315655,-0.085315655,1,,,,,,0,0,1,0
F,W,0.174524096,0.020446234,FW,1337,W,0,0,0.174524096,-0.086702,-0.086702,0,,,,,,0,0,1,0
F,B,0.156271144,-0.088145324,FB,1835,B,0,1,0.156271144,-0.088145324,-0.088145324,0,,,,,,0,0,0,1
M,W,1.118005157,0.973643083,MW,284,W,0,0,0.089588438,-0.088440351,0.753599124,0,,,,,,1,0,0,0
M,W,1.102850431,0.973479098,MW,757,W,0,0,0.074433712,-0.088604336,0.753435139,0,,,,,,1,0,0,0
M,W,1.288394441,0.97253302,MW,333,W,0,0,0.259977722,-0.089550415,0.75248906,0,,,,,,1,0,0,0
M,W,1.181818607,0.971882332,MW,164,W,0,0,0.153401888,-0.090201102,0.751838373,1,,,,,,1,0,0,0
M,B,1.294289171,0.894827466,MB,1860,B,0,1,0.265872452,-0.091636748,0.750402727,0,,,,,,0,1,0,0
M,B,1.260631237,0.893856939,MB,1271,B,0,1,0.232214518,-0.092607275,0.7494322,0,,,,,,0,1,0,0
M,B,0.987947328,0.892502422,MB,51,B,0,1,-0.040469391,-0.093961792,0.748077683,1,,,,,,0,1,0,0
M,W,1.328366253,0.967457488,MW,1204,W,0,0,0.299949534,-0.094625946,0.747413529,0,,,,,,1,0,0,0
M,B,1.393848663,0.890314698,MB,856,B,0,1,0.365431944,-0.096149516,0.745889959,0,,,,,,0,1,0,0
M,B,1.4176471,0.882329142,MB,61,B,0,1,0.389230381,-0.104135072,0.737904403,1,,,,,,0,1,0,0
F,W,0.248852394,0.002523183,FW,1579,W,0,0,0.248852394,-0.104625051,-0.104625051,0,,,,,,0,0,1,0
F,B,0.138136321,-0.105158633,FB,366,B,0,1,0.138136321,-0.105158633,-0.105158633,0,,,,,,0,0,0,1
M,W,1.21623974,0.955210995,MW,1126,W,0,0,0.187823021,-0.106872439,0.735167036,0,,,,,,1,0,0,0
F,B,0.260958506,-0.11152089,FB,1871,B,0,1,0.260958506,-0.11152089,-0.11152089,0,,,,,,0,0,0,1
M,B,1.128174836,0.874812546,MB,1071,B,0,1,0.099758117,-0.111651668,0.730387807,0,,,,,,0,1,0,0
F,W,-0.130366271,-0.006255696,FW,1180,W,0,0,-0.130366271,-0.11340393,-0.11340393,0,,,,,,0,0,1,0
M,B,1.197880293,0.873055328,MB,1469,B,0,1,0.169463575,-0.113408886,0.728630589,0,,,,,,0,1,0,0
M,W,1.440031395,0.948396771,MW,1926,W,0,0,0.411614676,-0.113686663,0.728352812,0,,,,,,1,0,0,0
F,W,-0.434011338,-0.007664502,FW,506,W,0,0,-0.434011338,-0.114812736,-0.114812736,0,,,,,,0,0,1,0
F,B,0.182282216,-0.117361587,FB,189,B,0,1,0.182282216,-0.117361587,-0.117361587,1,,,,,,0,0,0,1
F,W,0.272512628,-0.01194712,FW,764,W,0,0,0.272512628,-0.119095354,-0.119095354,0,,,,,,0,0,1,0
F,W,0.066473286,-0.013599323,FW,1103,W,0,0,0.066473286,-0.120747557,-0.120747557,0,,,,,,0,0,1,0
F,B,0.242852154,-0.127321234,FB,898,B,0,1,0.242852154,-0.127321234,-0.127321234,0,,,,,,0,0,0,1
M,B,1.015913414,0.859117318,MB,1898,B,0,1,-0.012503305,-0.127346897,0.714692578,0,,,,,,0,1,0,0
M,B,0.921825614,0.857245328,MB,1411,B,0,1,-0.106591105,-0.129218886,0.712820589,0,,,,,,0,1,0,0
M,B,1.004610557,0.84646591,MB,272,B,0,1,-0.023806162,-0.139998304,0.702041171,0,,,,,,0,1,0,0
M,W,0.870901056,0.918246267,MW,756,W,0,0,-0.157515663,-0.143837168,0.698202307,0,,,,,,1,0,0,0
M,B,1.362717406,0.842581098,MB,678,B,0,1,0.334300687,-0.143883116,0.698156359,0,,,,,,0,1,0,0
F,W,-0.115543803,-0.038282178,FW,629,W,0,0,-0.115543803,-0.145430412,-0.145430412,0,,,,,,0,0,1,0
M,B,1.193549162,0.839456688,MB,1828,B,0,1,0.165132443,-0.147007526,0.695031949,0,,,,,,0,1,0,0
M,W,1.261044069,0.915029049,MW,86,W,0,0,0.232627351,-0.147054385,0.69498509,1,,,,,,1,0,0,0
F,W,0.035879024,-0.041281878,FW,698,W,0,0,0.035879024,-0.148430112,-0.148430112,0,,,,,,0,0,1,0
F,B,0.155794861,-0.148595652,FB,1993,B,0,1,0.155794861,-0.148595652,-0.148595652,0,,,,,,0,0,0,1
M,B,1.200886479,0.835288399,MB,843,B,0,1,0.17246976,-0.151175815,0.69086366,0,,,,,,0,1,0,0
M,W,1.24172362,0.906856972,MW,1182,W,0,0,0.213306901,-0.155226463,0.686813013,0,,,,,,1,0,0,0
F,W,0.223754393,-0.048760158,FW,270,W,0,0,0.223754393,-0.155908393,-0.155908393,0,,,,,,0,0,1,0
M,W,1.109401261,0.904688373,MW,1717,W,0,0,0.080984542,-0.157395062,0.684644413,0,,,,,,1,0,0,0
M,B,0.858021072,0.828174901,MB,1882,B,0,1,-0.170395647,-0.158289313,0.683750162,0,,,,,,0,1,0,0
M,W,1.205130948,0.902138995,MW,10,W,0,0,0.176714229,-0.15994444,0.682095036,1,,,,,,1,0,0,0
M,W,1.008799967,0.901989495,MW,1756,W,0,0,-0.019616752,-0.16009394,0.681945535,0,,,,,,1,0,0,0
M,W,1.15220372,0.901786106,MW,1373,W,0,0,0.123787001,-0.160297328,0.681742147,0,,,,,,1,0,0,0
F,B,0.260439093,-0.160310247,FB,78,B,0,1,0.260439093,-0.160310247,-0.160310247,1,,,,,,0,0,0,1
M,W,0.953915383,0.90096996,MW,1744,W,0,0,-0.074501336,-0.161113474,0.680926001,0,,,,,,1,0,0,0
F,B,-0.266910906,-0.162687789,FB,1486,B,0,1,-0.266910906,-0.162687789,-0.162687789,0,,,,,,0,0,0,1
F,B,-0.421015375,-0.163334171,FB,1452,B,0,1,-0.421015375,-0.163334171,-0.163334171,0,,,,,,0,0,0,1
M,W,1.149944739,0.898008378,MW,754,W,0,0,0.12152802,-0.164075056,0.677964419,0,,,,,,1,0,0,0
F,W,0.102470307,-0.060658592,FW,1782,W,0,0,0.102470307,-0.167806826,-0.167806826,0,,,,,,0,0,1,0
M,W,0.930645138,0.894237179,MW,1546,W,0,0,-0.097771581,-0.167846256,0.674193219,0,,,,,,1,0,0,0
M,W,0.975508383,0.891527872,MW,440,W,0,0,-0.052908335,-0.170555563,0.671483913,0,,,,,,1,0,0,0
M,W,0.935340873,0.887988495,MW,437,W,0,0,-0.093075846,-0.174094939,0.667944536,0,,,,,,1,0,0,0
F,B,0.11255987,-0.174437038,FB,1985,B,0,1,0.11255987,-0.174437038,-0.174437038,0,,,,,,0,0,0,1
M,B,1.302891464,0.8115025,MB,1407,B,0,1,0.274474745,-0.174961714,0.667077761,0,,,,,,0,1,0,0
M,W,0.930883291,0.884257569,MW,1906,W,0,0,-0.097533428,-0.177825866,0.66421361,0,,,,,,1,0,0,0
F,W,-0.190231035,-0.071921313,FW,279,W,0,0,-0.190231035,-0.179069547,-0.179069547,0,,,,,,0,0,1,0
M,W,1.031243782,0.882994059,MW,1082,W,0,0,0.002827063,-0.179089376,0.662950099,0,,,,,,1,0,0,0
F,W,0.233548638,-0.076313475,FW,195,W,0,0,0.233548638,-0.183461709,-0.183461709,1,,,,,,0,0,1,0
M,W,1.008241518,0.87842019,MW,1954,W,0,0,-0.020175201,-0.183663245,0.65837623,0,,,,,,1,0,0,0
F,W,0.141251475,-0.076938952,FW,913,W,0,0,0.141251475,-0.184087186,-0.184087186,0,,,,,,0,0,1,0
M,W,1.222584139,0.877616284,MW,1086,W,0,0,0.19416742,-0.184467151,0.657572324,0,,,,,,1,0,0,0
M,B,1.126310919,0.797560325,MB,1979,B,0,1,0.0978942,-0.188903889,0.653135586,0,,,,,,0,1,0,0
M,W,1.0805651,0.872422555,MW,512,W,0,0,0.052148381,-0.189660879,0.652378596,0,,,,,,1,0,0,0
M,W,1.119930534,0.872176108,MW,369,W,0,0,0.091513815,-0.189907326,0.652132149,0,,,,,,1,0,0,0
F,B,0.254461095,-0.192777425,FB,1200,B,0,1,0.254461095,-0.192777425,-0.192777425,0,,,,,,0,0,0,1
F,W,-0.115330273,-0.086728424,FW,1098,W,0,0,-0.115330273,-0.193876658,-0.193876658,0,,,,,,0,0,1,0
F,B,-0.168421492,-0.194315525,FB,163,B,0,1,-0.168421492,-0.194315525,-0.194315525,1,,,,,,0,0,0,1
F,B,0.48142591,-0.194326903,FB,1796,B,0,1,0.48142591,-0.194326903,-0.194326903,0,,,,,,0,0,0,1
M,W,1.063451224,0.86430756,MW,1630,W,0,0,0.035034505,-0.197775874,0.644263601,0,,,,,,1,0,0,0
M,B,1.172351748,0.787789796,MB,1360,B,0,1,0.143935029,-0.198674418,0.643365057,0,,,,,,0,1,0,0
M,B,1.064499012,0.781856747,MB,1941,B,0,1,0.036082293,-0.204607467,0.637432008,0,,,,,,0,1,0,0
M,W,1.054460866,0.855465481,MW,346,W,0,0,0.026044147,-0.206617953,0.635421522,0,,,,,,1,0,0,0
M,W,0.891634438,0.854726211,MW,198,W,0,0,-0.136782281,-0.207357223,0.634682252,1,,,,,,1,0,0,0
F,W,0.223289191,-0.101000695,FW,88,W,0,0,0.223289191,-0.208148929,-0.208148929,1,,,,,,0,0,1,0
F,B,0.09130778,-0.210559249,FB,1822,B,0,1,0.09130778,-0.210559249,-0.210559249,0,,,,,,0,0,0,1
M,W,0.858547052,0.849716435,MW,1932,W,0,0,-0.169869667,-0.212367,0.629672476,0,,,,,,1,0,0,0
M,B,1.149193157,0.77312795,MB,353,B,0,1,0.120776438,-0.213336264,0.628703211,0,,,,,,0,1,0,0
M,W,1.100342538,0.847750038,MW,80,W,0,0,0.071925819,-0.214333396,0.627706079,1,,,,,,1,0,0,0
M,B,1.05326964,0.771832552,MB,522,B,0,1,0.024852921,-0.214631662,0.627407813,0,,,,,,0,1,0,0
M,B,1.190507027,0.770115552,MB,1660,B,0,1,0.162090308,-0.216348662,0.625690813,0,,,,,,0,1,0,0
F,B,0.056065709,-0.221239341,FB,1720,B,0,1,0.056065709,-0.221239341,-0.221239341,0,,,,,,0,0,0,1
M,W,1.32676138,0.837557387,MW,235,W,0,0,0.298344661,-0.224526047,0.617513428,0,,,,,,1,0,0,0
M,W,0.991204253,0.837050497,MW,1453,W,0,0,-0.037212466,-0.225032938,0.617006538,0,,,,,,1,0,0,0
M,W,0.994147299,0.836302064,MW,1261,W,0,0,-0.03426942,-0.22578137,0.616258105,0,,,,,,1,0,0,0
F,W,-0.377020224,-0.120585877,FW,337,W,0,0,-0.377020224,-0.227734111,-0.227734111,0,,,,,,0,0,1,0
F,W,-0.160413473,-0.125453276,FW,118,W,0,0,-0.160413473,-0.23260151,-0.23260151,1,,,,,,0,0,1,0
F,W,-0.040779117,-0.125952612,FW,1131,W,0,0,-0.040779117,-0.233100846,-0.233100846,0,,,,,,0,0,1,0
M,W,1.147823268,0.828159018,MW,1613,W,0,0,0.119406549,-0.233924416,0.608115059,0,,,,,,1,0,0,0
F,B,0.062750511,-0.236411539,FB,863,B,0,1,0.062750511,-0.236411539,-0.236411539,0,,,,,,0,0,0,1
